iter	Passed	Remaining
403	9694	14302
404	9721	14282
405	9747	14260
406	9771	14237
407	9796	14214
408	9821	14191
409	9850	14174
410	9878	14157
411	9910	14144
412	9939	14127
413	9969	14110
414	9996	14091
415	10026	14075
416	10052	14054
417	10077	14031
418	10103	14009
419	10128	13987
420	10155	13967
421	10183	13948
422	10211	13929
423	10235	13905
424	10258	13878
425	10280	13852
426	10305	13829
427	10331	13807
428	10359	13788
429	10386	13768
430	10412	13745
431	10440	13727
432	10484	13729
433	10514	13712
434	10548	13701
435	10578	13683
436	10610	13670
437	10640	13652
438	10670	13635
439	10699	13617
440	10727	13598
441	10755	13578
442	10781	13555
443	10808	13534
444	10836	13514
445	10862	13493
446	10886	13468
447	10911	13443
448	10935	13420
449	10960	13396
450	10986	13374
451	11009	13348
452	11034	13324
453	11061	13302
454	11085	13278
455	11109	13254
456	11134	13229
457	11160	13207
458	11185	13184
459	11209	13158
460	11231	13132
461	11255	13106
462	11280	13083
463	11299	13053
464	11321	13025
465	11342	12997
466	11366	12972
467	11387	12945
468	11411	12919
469	11433	12893
470	11455	12865
471	11478	12840
472	11501	12814
473	11523	12787
474	11545	12760
475	11566	12732
476	11589	12707
477	11615	12684
478	11639	12660
479	11670	12643
480	11699	12623
481	11729	12605
482	11758	12586
483	11787	12566
484	11813	12544
485	11841	12524
486	11867	12501
487	11892	12477
488	11916	12452
489	11939	12426
490	11963	12401
491	11988	12378
492	12014	12355
493	12038	12330
494	12061	12304
495	12082	12277
496	12104	12250
497	12126	12223
498	12148	12197
499	12171	12171
500	12192	12143
501	12214	12116
502	12236	12090
503	12258	12064
504	12280	12037
505	12302	12010
506	12322	11982
507	12344	11955
508	12366	11928
509	12386	11901
510	12409	11874
511	12429	11847
512	12450	11819
513	12471	11792
514	12492	11764
515	12514	11738
516	12536	11712
517	12559	11686
518	12582	11660
519	12603	11634
520	12624	11606
521	12646	11580
522	12667	11553
523	12688	11526
524	12709	11499
525	12731	11472
526	12752	11446
527	12774	11419
528	12797	11394
529	12817	11366
530	12838	11339
531	12860	11313
532	12882	11287
533	12903	11260
534	12924	11233
535	12946	11207
536	12970	11182
537	12992	11157
538	13016	11132
539	13038	11107
540	13062	11082
541	13085	11057
542	13107	11031
543	13129	11005
544	13152	10980
545	13175	10955
546	13198	10930
547	13221	10905
548	13245	10880
549	13266	10854
550	13290	10830
551	13312	10804
552	13333	10777
553	13355	10751
554	13376	10725
555	13398	10699
556	13420	10673
557	13443	10648
558	13465	10622
559	13487	10597
560	13508	10570
561	13529	10544
562	13550	10518
563	13572	10492
564	13594	10466
565	13615	10439
566	13639	10415
567	13660	10389
568	13682	10364
569	13704	10338
570	13724	10311
571	13746	10285
572	13768	10260
573	13789	10233
574	13809	10207
575	13830	10180
576	13853	10155
577	13873	10129
578	13896	10104
579	13917	10078
580	13940	10053
581	13961	10027
582	13983	10001
583	14005	9976
584	14026	9950
585	14047	9924
586	14069	9899
587	14090	9872
588	14110	9846
589	14132	9820
590	14153	9795
591	14175	9769
592	14196	9743
593	14216	9717
594	14238	9691
595	14261	9667
596	14283	9642
597	14305	9616
598	14326	9591
599	14350	9566
600	14371	9541
601	14392	9515
602	14414	9490
603	14435	9464
604	14457	9439
605	14480	9414
606	14503	9390
607	14523	9363
608	14545	9339
609	14565	9312
610	14586	9286
611	14606	9260
612	14628	9234
613	14649	9209
614	14670	9184
615	14690	9157
616	14712	9132
617	14732	9106
618	14754	9081
619	14775	9055
620	14796	9030
621	14816	9004
622	14837	8978
623	14858	8953
624	14880	8928
625	14902	8903
626	14923	8877
627	14946	8853
628	14968	8828
629	14988	8802
630	15009	8777
631	15031	8752
632	15052	8727
633	15074	8702
634	15097	8678
635	15118	8652
636	15140	8628
637	15162	8603
638	15185	8578
639	15206	8553
640	15227	8528
641	15248	8502
642	15269	8477
643	15289	8452
644	15311	8427
645	15331	8401
646	15352	8376
647	15375	8352
648	15397	8327
649	15418	8302
650	15440	8277
651	15459	8251
652	15480	8226
653	15501	8201
654	15522	8175
655	15543	8150
656	15563	8125
657	15584	8100
658	15606	8075
659	15628	8051
660	15648	8025
661	15668	7999
662	15688	7974
663	15708	7948
664	15729	7923
665	15751	7899
666	15774	7875
667	15799	7852
668	15823	7828
669	15848	7805
670	15872	7782
671	15898	7759
672	15923	7737
673	15948	7713
674	15970	7689
675	15991	7664
676	16013	7640
677	16036	7616
678	16058	7591
679	16079	7566
680	16100	7541
681	16123	7518
682	16145	7493
683	16166	7468
684	16186	7443
685	16206	7418
686	16230	7394
687	16252	7370
688	16276	7346
689	16297	7322
690	16323	7299
691	16356	7280
692	16384	7258
693	16409	7235
694	16436	7213
695	16462	7190
696	16488	7167
697	16511	7143
698	16534	7120
699	16558	7096
700	16584	7073
701	16608	7050
702	16632	7026
703	16657	7003
704	16681	6980
705	16705	6956
706	16727	6932
707	16749	6908
708	16772	6884
709	16795	6860
710	16818	6836
711	16842	6812
712	16864	6788
713	16888	6764
714	16910	6740
715	16933	6716
716	16954	6691
717	16975	6667
718	16995	6642
719	17016	6617
720	17036	6592
721	17056	6567
722	17076	6542
723	17098	6518
724	17121	6494
725	17144	6470
726	17166	6446
727	17185	6420
728	17206	6396
729	17226	6371
730	17247	6346
731	17269	6322
732	17292	6298
733	17314	6274
734	17337	6250
735	17359	6226
736	17382	6202
737	17404	6178
738	17426	6154
739	17447	6130
740	17468	6105
741	17490	6081
742	17512	6057
743	17534	6033
744	17556	6009
745	17577	5984
746	17598	5960
747	17617	5935
748	17638	5910
749	17657	5885
750	17677	5861
751	17698	5836
752	17717	5811
753	17738	5787
754	17760	5763
755	17782	5739
756	17802	5714
757	17825	5691
758	17848	5667
759	17871	5643
760	17894	5620
761	17918	5596
762	17941	5572
763	17964	5549
764	17990	5526
765	18013	5502
766	18037	5479
767	18059	5455
768	18082	5431
769	18108	5408
770	18132	5385
771	18159	5363
772	18186	5340
773	18215	5318
774	18242	5296
775	18269	5273
776	18294	5250
777	18321	5227
778	18348	5205
779	18375	5182
780	18401	5159
781	18429	5137
782	18456	5115
783	18482	5092
784	18510	5069
785	18536	5046
786	18559	5023
787	18586	5000
788	18610	4977
789	18637	4954
790	18664	4931
791	18689	4908
792	18713	4884
793	18739	4861
794	18766	4839
795	18791	4815
796	18816	4792
797	18842	4769
798	18867	4746
799	18893	4723
800	18920	4700
801	18945	4677
802	18971	4654
803	18997	4631
804	19023	4608
805	19050	4585
806	19076	4562
807	19101	4539
808	19127	4515
809	19151	4492
810	19175	4468
811	19197	4444
812	19221	4421
813	19245	4397
814	19268	4373
815	19293	4350
816	19316	4326
817	19339	4303
818	19362	4279
819	19384	4255
820	19409	4231
821	19431	4207
822	19457	4184
823	19480	4160
824	19506	4137
825	19530	4114
826	19552	4090
827	19574	4066
828	19595	4041
829	19615	4017
830	19637	3993
831	19659	3969
832	19680	3945
833	19702	3921
834	19726	3898
835	19750	3874
836	19775	3851
837	19799	3827
838	19821	3803
839	19844	3779
840	19868	3756
841	19891	3732
842	19915	3708
843	19939	3685
844	19962	3661
845	19985	3638
846	20008	3614
847	20028	3590
848	20049	3565
849	20071	3542
850	20092	3518
851	20115	3494
852	20138	3470
853	20162	3446
854	20186	3423
855	20210	3399
856	20233	3376
857	20256	3352
858	20280	3328
859	20303	3305
860	20326	3281
861	20350	3258
862	20374	3234
863	20396	3210
864	20417	3186
865	20438	3162
866	20457	3138
867	20480	3114
868	20504	3091
869	20528	3067
870	20550	3043
871	20573	3019
872	20595	2996
873	20618	2972
874	20639	2948
875	20659	2924
876	20679	2900
877	20701	2876
878	20721	2852
879	20742	2828
880	20762	2804
881	20787	2781
882	20812	2757
883	20841	2734
884	20867	2711
885	20891	2688
886	20916	2664
887	20939	2641
888	20965	2617
889	20993	2594
890	21025	2572
891	21051	2548
892	21074	2525
893	21105	2502
894	21138	2479
895	21165	2456
896	21192	2433
897	21219	2410
898	21245	2386
899	21276	2364
900	21303	2340
901	21330	2317
902	21358	2294
903	21384	2270
904	21411	2247
905	21438	2224
906	21464	2200
907	21490	2177
908	21517	2154
909	21544	2130
910	21571	2107
911	21596	2083
912	21622	2060
913	21646	2036
914	21672	2013
915	21696	1989
916	21722	1966
917	21745	1942
918	21768	1918
919	21794	1895
920	21819	1871
921	21845	1848
922	21871	1824
923	21894	1800
924	21916	1777
925	21941	1753
926	21962	1729
927	21982	1705
928	22004	1681
929	22026	1657
930	22046	1633
931	22069	1610
932	22090	1586
933	22110	1562
934	22132	1538
935	22154	1514
936	22176	1491
937	22197	1467
938	22218	1443
939	22240	1419
940	22261	1395
941	22286	1372
942	22309	1348
943	22332	1324
944	22355	1301
945	22380	1277
946	22403	1253
947	22425	1230
948	22446	1206
949	22467	1182
950	22487	1158
951	22508	1134
952	22530	1111
953	22551	1087
954	22573	1063
955	22595	1039
956	22616	1016
957	22637	992
958	22658	968
959	22680	945
960	22703	921
961	22724	897
962	22746	873
963	22767	850
964	22788	826
965	22810	802
966	22830	779
967	22848	755
968	22869	731
969	22889	707
970	22910	684
971	22931	660
972	22952	636
973	22973	613
974	22995	589
975	23018	566
976	23041	542
977	23062	518
978	23083	495
979	23105	471
980	23125	447
981	23146	424
982	23172	400
983	23202	377
984	23235	353
985	23269	330
986	23299	306
987	23324	283
988	23349	259
989	23374	236
990	23398	212
991	23422	188
992	23447	165
993	23474	141
994	23498	118
995	23521	94
996	23545	70
997	23568	47
998	23591	23
999	23614	0
